Family,Genus,Species,Name,male diploid number,male haploid,autosome haploid,SCS
Lucanidae,Cerchus,ligrius,Cerchus_ligrius,20,10,9,XY
Lucanidae,Dorcus,parallelipipedus,Dorcus_parallelipipedus,18,9,8,NeoXY
Lucanidae,Figulus,binodulus,Figulus_binodulus,20,10,9,XY
Lucanidae,Figulus,boninensis,Figulus_boninensis,20,10,9,XY
Lucanidae,Figulus,punctatus,Figulus_punctatus,26,13,12,XY
Lucanidae,Lamprima,adolphinae,Lamprima_adolphinae,18,9,8,XY
Lucanidae,Lucanus,cervus,Lucanus_cervus,22,11,10,XY
Lucanidae,Lucanus,maculifemoratus,Lucanus_maculifemoratus,26,13,12,XY
Lucanidae,Macrodorcas,binervis,Macrodorcas_binervis,14,7,6,XY
Lucanidae,Dorcus,rectus,Dorcus_rectus,18,9,8,XY
Lucanidae,Hemisodorcus,rubrofemoratus,Hemisodorcus_rubrofemoratus,10,5,4,NeoXY
Lucanidae,Nipponodorcus,rubrofemoratus,Nipponodorcus_rubrofemoratus,10,5,4,XY
Lucanidae,Odontolabis,cuvera,Odontolabis_cuvera,29,15,14,XO
Lucanidae,Prosopocoilus,inclinatus,Prosopocoilus_inclinatus,20,10,9,XY
Lucanidae,Prosopocoilus,inclitus,Prosopocoilus_inclitus,20,10,9,XY
Lucanidae,Sinodendron,rugosum,Sinodendron_rugosum,18,9,8,XY
Passalidae,Aulacocyclus,edentulus,Aulacocyclus_edentulus,30,15,14,XY
Passalidae,Chondrocephalus,debilis,Chondrocephalus_debilis,38,19,18,XY
Passalidae,Chondrocephalus,gemmae,Chondrocephalus_gemmae,28,14,13,XY
Passalidae,Chondrocephalus,granulum,Chondrocephalus_granulum,24,12,11,XY
Passalidae,Chondrocephalus,purulensis,Chondrocephalus_purulensis,39,20,17,XXXXXO
Passalidae,Coniger,ridiculus,Coniger_ridiculus,36,18,17,XY
Passalidae,Heliscus,tropicus,Heliscus_tropicus,34,17,16,XY
Passalidae,Odontotaenius,disjunctus,Odontotaenius_disjunctus,26,13,12,XY
Passalidae,Odontotaenius,striatopunctatus,Odontotaenius_striatopunctatus,24,12,11,XY
Passalidae,Odontotaenius,striatopunctatus,Odontotaenius_striatopunctatus,26,13,12,XY
Passalidae,Odontotaenius,zodiacus,Odontotaenius_zodiacus,30,15,14,XY
Passalidae,Ogyges,politus,Ogyges_politus,26,13,12,XY
Passalidae,Oileus,bifidus,Oileus_bifidus,18,9,8,XY
Passalidae,Oileus,rimator,Oileus_rimator,18,9,8,XY
Passalidae,Oileus,sargi,Oileus_sargi,18,9,8,XY
Passalidae,Passalus,aculeatus,Passalus_aculeatus,29,15,14,XO
Passalidae,Passalus,alius,Passalus_alius,25,13,12,XO
Passalidae,Passalus,binomiatus,Passalus_binomiatus,25,13,12,XO
Passalidae,Passalus,coniferus,Passalus_coniferus,25,13,12,XO
Passalidae,Passalus,glaberrinus,Passalus_glaberrinus,25,13,12,XO
Passalidae,Passalus,interruptus,Passalus_interruptus,25,13,12,XO
Passalidae,Passalus,interstitialis,Passalus_interstitialis,25,13,12,XO
Passalidae,Passalus,mancus,Passalus_mancus,31,16,15,XO
Passalidae,Passalus,mirabilis,Passalus_mirabilis,25,13,12,XO
Passalidae,Passalus,morio,Passalus_morio,31,16,15,XO
Passalidae,Passalus,occipitalis,Passalus_occipitalis,25,13,12,XO
Passalidae,Passalus,perplexus,Passalus_perplexus,25,13,12,XO
Passalidae,Passalus,plicatus,Passalus_plicatus,25,13,12,XO
Passalidae,Passalus,punctatostriatus,Passalus_punctatostriatus,25,13,12,XO
Passalidae,Passalus,punctiger,Passalus_punctiger,25,13,12,XO
Passalidae,Passalus,quadricollis,Passalus_quadricollis,25,13,12,XO
Passalidae,Passalus,sp.,Passalus_sp.,29,15,14,XO
Passalidae,Passalus,suturalis,Passalus_suturalis,25,13,12,XO
Passalidae,Passalus,unicornis,Passalus_unicornis,25,13,12,XO
Passalidae,Paxillus,leachi,Paxillus_leachi,25,13,12,XO
Passalidae,Yumtaax,mazatecus,Yumtaax_mazatecus,38,19,18,XY
Passalidae,Petrejoides,nebulosum,Petrejoides_nebulosum,38,19,18,XY
Passalidae,Petrejoides,orizabae,Petrejoides_orizabae,28,14,13,XY
Passalidae,Popilius,eclipticus,Popilius_eclipticus,34,17,16,XY
Passalidae,Proculejus,brevis,Proculejus_brevis,28,14,13,XY
Passalidae,Proculejus,c.,Proculejus_c.,32,16,15,XY
Passalidae,Proculejus,c.,Proculejus_c.,20,10,9,XY
Passalidae,Proculus,beckeri,Proculus_beckeri,38,19,18,XY
Passalidae,Pseudacanthus,aztecus,Pseudacanthus_aztecus,34,17,16,XY
Passalidae,Pseudacanthus,mexicanus,Pseudacanthus_mexicanus,40,20,19,XY
Passalidae,Pseudacanthus,violetae,Pseudacanthus_violetae,38,19,18,XY
Passalidae,Ptichopus,angulatus,Ptichopus_angulatus,25,13,12,XO
Passalidae,Publius,agassizi,Publius_agassizi,28,14,13,XY
Passalidae,Spasalus,puncticollis,Spasalus_puncticollis,,,,
Passalidae,Spasalus,robustus,Spasalus_robustus,25,13,12,XO
Passalidae,Spurius,bicornis,Spurius_bicornis,30,15,14,XY
Passalidae,Spurius,bicornis,Spurius_bicornis,32,16,15,XY
Passalidae,Spurius,halffteri,Spurius_halffteri,38,19,18,XY
Passalidae,Undulifer,acapulcae,Undulifer_acapulcae,44,22,21,XY
Passalidae,Verres,corticicola,Verres_corticicola,28,14,13,XY
Passalidae,Verres,hageni,Verres_hageni,28,14,13,XY
Passalidae,Veturius,assimilis,Veturius_assimilis,28,14,13,XY
Passalidae,Veturius,transversus,Veturius_transversus,28,14,13,XY
Passalidae,Vindex,agnoscendens,Vindex_agnoscendens,28,14,13,XY
Passalidae,Vindex,c.,Vindex_c.,18,9,8,XY
Passalidae,Vindex,sp.,Vindex_sp.,18,9,8,XY
Trogidae,Trox,borrei,Trox_borrei,20,10,9,XY
Trogidae,Trox,costatus,Trox_costatus,20,10,9,XY
Trogidae,Trox,foveicollis,Trox_foveicollis,20,10,9,XY
Trogidae,Trox,granulatus,Trox_granulatus,20,10,9,XY
Trogidae,Trox,mochus,Trox_mochus,20,10,9,XY
Trogidae,Trox,omacanthus,Trox_omacanthus,20,10,9,XY
Trogidae,Trox,oricensis,Trox_oricensis,20,10,9,XY
Trogidae,Trox,punctatus,Trox_punctatus,20,10,9,XY
Trogidae,Trox,scaber,Trox_scaber,20,10,9,XY
Trogidae,Trox,scutellaris,Trox_scutellaris,20,10,9,XY
Trogidae,Trox,spinulosus,Trox_spinulosus,20,10,9,XY
Glaphyridae,Lichnanthe,rathvoni,Lichnanthe_rathvoni,20,10,9,XY
Glaresidae,Glaresis,sp.,Glaresis_sp.,20,10,9,XY
Scarabaeidae,Adoretus,bombitor,Adoretus_bombitor,22,11,10,XY
Scarabaeidae,Adoretus,decanus,Adoretus_decanus,22,11,10,XY
Scarabaeidae,Adoretus,duvauceli,Adoretus_duvauceli,22,11,10,XY
Scarabaeidae,Adoretus,epipleuralis,Adoretus_epipleuralis,22,11,10,XY
Scarabaeidae,Adoretus,incurvatus,Adoretus_incurvatus,22,11,10,XY
Scarabaeidae,Adoretus,lasiopygus,Adoretus_lasiopygus,22,11,10,XY
Scarabaeidae,Adoretus,limbatus,Adoretus_limbatus,22,11,10,XY
Scarabaeidae,Adoretus,sp.,Adoretus_sp.,22,11,10,XY
Scarabaeidae,Adoretus,sp.,Adoretus_sp.,22,11,10,XY
Scarabaeidae,Adoretus,versutus,Adoretus_versutus,22,11,10,XY
Scarabaeidae,Adoretus,versutus,Adoretus_versutus,24,12,11,XY
Scarabaeidae,Adorrhinyptia,dorsalis,Adorrhinyptia_dorsalis,22,11,10,XY
Scarabaeidae,Adorrhinyptia,sp.,Adorrhinyptia_sp.,16,8,7,XY
Scarabaeidae,Adorrhinyptia,sp.,Adorrhinyptia_sp.,18,9,8,XY
Scarabaeidae,Adorrhinyptia,sp.,Adorrhinyptia_sp.,20,10,9,XY
Scarabaeidae,Aegiala,areria,Aegiala_areria,20,10,,
Scarabaeidae,Aegiala,blanchardi,Aegiala_blanchardi,20,10,9,XY
Scarabaeidae,Aegialia,areria,Aegialia_areria,20,10,9,XY
Scarabaeidae,Aeqialia,areria,Aeqialia_areria,20,10,,
Scarabaeidae,Aeqialia,blanchardi,Aeqialia_blanchardi,20,10,9,XY
Scarabaeidae,Allomyrina,dichotoma,Allomyrina_dichotoma,20,10,9,XY
Scarabaeidae,Amaurodes,passerini,Amaurodes_passerini,20,10,9,XY
Scarabaeidae,Amaurodes,passerini,Amaurodes_passerini,20,10,9,XY
Scarabaeidae,Amphimallon,majale,Amphimallon_majale,20,10,9,XY
Scarabaeidae,Amphimallon,solstitialis,Amphimallon_solstitialis,20,10,,
Scarabaeidae,Anisoplia,flavipennis,Anisoplia_flavipennis,20,10,9,XY
Scarabaeidae,Anomala,bengalensis,Anomala_bengalensis,18,9,8,XY
Scarabaeidae,Anomala,corpulenta,Anomala_corpulenta,18,9,8,XY
Scarabaeidae,Anomala,cuprea,Anomala_cuprea,20,10,,
Scarabaeidae,Anomala,dorsalis,Anomala_dorsalis,20,10,9,XY
Scarabaeidae,Anomala,dubia,Anomala_dubia,20,10,9,XY
Scarabaeidae,Anomala,lucens,Anomala_lucens,20,10,9,XY
Scarabaeidae,Anomala,luciae,Anomala_luciae,20,10,9,XY
Scarabaeidae,Anomala,polita,Anomala_polita,20,10,9,XY
Scarabaeidae,Anomala,ruficapilla,Anomala_ruficapilla,20,10,9,XY
Scarabaeidae,Anomala,rufocuprea,Anomala_rufocuprea,18,9,8,XY
Scarabaeidae,Anomala,rufocuprea,Anomala_rufocuprea,20,10,,
Scarabaeidae,Anomala,sp.,Anomala_sp.,20,10,9,XY
Scarabaeidae,Anomala,superflua,Anomala_superflua,20,10,9,XY
Scarabaeidae,Anomala,varicolor,Anomala_varicolor,20,10,9,XY
Scarabaeidae,Anomala,vestigator,Anomala_vestigator,20,10,9,XY
Scarabaeidae,Anomiopsides,heteroclyta,Anomiopsides_heteroclyta,18,9,,
Scarabaeidae,Anoplotrupes,balyi,Anoplotrupes_balyi,22,11,10,XY
Scarabaeidae,Anoplotrupes,stercorosus,Anoplotrupes_stercorosus,20,10,9,XY
Scarabaeidae,Anoplotrupes,stercorosus,Anoplotrupes_stercorosus,22,11,10,XY
Scarabaeidae,Aphodius,abdomilis,Aphodius_abdomilis,19,10,9,XO
Scarabaeidae,Aphodius,ater,Aphodius_ater,20,10,9,XY
Scarabaeidae,Aphodius,bonvouloiri,Aphodius_bonvouloiri,20,10,9,XY
Scarabaeidae,Aphodius,borealis,Aphodius_borealis,20,10,9,XY
Scarabaeidae,Aphodius,coniugatus,Aphodius_coniugatus,20,10,9,XY
Scarabaeidae,Aphodius,conspurcatus,Aphodius_conspurcatus,20,10,9,XY
Scarabaeidae,Aphodius,consputus,Aphodius_consputus,20,10,9,XY
Scarabaeidae,Aphodius,constans,Aphodius_constans,20,10,9,XY
Scarabaeidae,Aphodius,contamitus,Aphodius_contamitus,20,10,9,XY
Scarabaeidae,Aphodius,depressus,Aphodius_depressus,20,10,9,XY
Scarabaeidae,Aphodius,distinctus,Aphodius_distinctus,20,10,9,XY
Scarabaeidae,Aphodius,distintus,Aphodius_distintus,20,10,9,XY
Scarabaeidae,Aphodius,elevatus,Aphodius_elevatus,20,10,,
Scarabaeidae,Aphodius,erraticus,Aphodius_erraticus,20,10,9,XY
Scarabaeidae,Aphodius,fasciatus,Aphodius_fasciatus,20,10,9,XY
Scarabaeidae,Aphodius,fimetarius,Aphodius_fimetarius,20,10,9,XY
Scarabaeidae,Aphodius,foetens,Aphodius_foetens,20,10,,
Scarabaeidae,Aphodius,foetidus,Aphodius_foetidus,20,10,,
Scarabaeidae,Aphodius,fossor,Aphodius_fossor,20,10,9,XY
Scarabaeidae,Aphodius,haemorrhoidalis,Aphodius_haemorrhoidalis,20,10,9,XY
Scarabaeidae,Aphodius,lapponum,Aphodius_lapponum,20,10,9,XY
Scarabaeidae,Aphodius,lineolatus,Aphodius_lineolatus,20,10,9,XY
Scarabaeidae,Aphodius,lividus,Aphodius_lividus,20,10,9,XY
Scarabaeidae,Aphodius,luridus,Aphodius_luridus,20,10,9,XY
Scarabaeidae,Aphodius,moestus,Aphodius_moestus,22,11,10,XY
Scarabaeidae,Aphodius,nemoralis,Aphodius_nemoralis,,,,
Scarabaeidae,Aphodius,niger,Aphodius_niger,20,10,9,XY
Scarabaeidae,Aphodius,obliteratus,Aphodius_obliteratus,20,10,9,XY
Scarabaeidae,Aphodius,paganettii,Aphodius_paganettii,20,10,9,XY
Scarabaeidae,Aphodius,paykulli,Aphodius_paykulli,20,10,9,XY
Scarabaeidae,Aphodius,pedellus,Aphodius_pedellus,20,10,9,XY
Scarabaeidae,Aphodius,plagiatus,Aphodius_plagiatus,20,10,9,XY
Scarabaeidae,Aphodius,prodromus,Aphodius_prodromus,20,10,9,XY
Scarabaeidae,Aphodius,pseudolividus,Aphodius_pseudolividus,20,10,9,XY
Scarabaeidae,Aphodius,pusillus,Aphodius_pusillus,20,10,,
Scarabaeidae,Aphodius,rufipes,Aphodius_rufipes,20,10,9,XY
Scarabaeidae,Aphodius,rufus,Aphodius_rufus,20,10,9,XY
Scarabaeidae,Aphodius,scrutator,Aphodius_scrutator,20,10,9,XY
Scarabaeidae,Aphodius,sphacelatus,Aphodius_sphacelatus,20,10,9,XY
Scarabaeidae,Aphodius,sticticus,Aphodius_sticticus,20,10,9,XY
Scarabaeidae,Aphodius,subterraneus,Aphodius_subterraneus,20,10,,
Scarabaeidae,Aphodius,vittatus,Aphodius_vittatus,20,10,9,XY
Scarabaeidae,Aphodius,wilsoe,Aphodius_wilsoe,20,10,9,XY
Scarabaeidae,Apogonia,carita,Apogonia_carita,20,10,9,XY
Scarabaeidae,Apogonia,ferruginea,Apogonia_ferruginea,19,10,9,XO
Scarabaeidae,Apogonia,nigricans,Apogonia_nigricans,19,10,9,XO
Scarabaeidae,Apogonia,nigricans,Apogonia_nigricans,20,10,9,XY
Scarabaeidae,Apogonia,proxima,Apogonia_proxima,20,10,9,XY
Scarabaeidae,Apogonia,sp.,Apogonia_sp.,19,10,9,XO
Scarabaeidae,Apogonia,sp.,Apogonia_sp.,21,11,10,XO
Scarabaeidae,Apogonia,sp.,Apogonia_sp.,20,10,9,XY
Scarabaeidae,Apogonia,unistraita,Apogonia_unistraita,20,10,9,XY
Scarabaeidae,Archophileurus,vervex,Archophileurus_vervex,16,8,7,NeoXY
Scarabaeidae,Aserica,pilula,Aserica_pilula,20,10,9,XY
Scarabaeidae,Aserica,sp.,Aserica_sp.,19,10,9,XO
Scarabaeidae,Ataenius,fossor,Ataenius_fossor,20,10,9,XY
Scarabaeidae,Ataenius,haemorrhoidalis,Ataenius_haemorrhoidalis,20,10,9,XY
Scarabaeidae,Ataenius,merdarius,Ataenius_merdarius,20,10,9,XY
Scarabaeidae,Ataenius,rufipus,Ataenius_rufipus,20,10,9,XY
Scarabaeidae,Ataenius,rufus,Ataenius_rufus,20,10,,
Scarabaeidae,Ataenius,scrutator,Ataenius_scrutator,20,10,9,XY
Scarabaeidae,Ataenius,spretulus,Ataenius_spretulus,20,10,,
Scarabaeidae,Atheuchus,sp.,Atheuchus_sp.,16,8,7,XY
Scarabaeidae,Athyreus,excavatus,Athyreus_excavatus,20,10,9,XY
Scarabaeidae,Augosoma,centaurus,Augosoma_centaurus,18,9,8,NeoXY
Scarabaeidae,Autoserica,assamensis,Autoserica_assamensis,30,15,14,XY
Scarabaeidae,Autoserica,sp.,Autoserica_sp.,18,9,8,XY
Scarabaeidae,Autoserica,sp.,Autoserica_sp.,20,10,9,XY
Scarabaeidae,Bolbelasmus,arcuatus,Bolbelasmus_arcuatus,20,10,9,XY
Scarabaeidae,Bolbites,onitoides,Bolbites_onitoides,20,10,9,XY
Scarabaeidae,Bolboceras,quadridens,Bolboceras_quadridens,20,10,9,XY
Scarabaeidae,Bolboceras,sp.,Bolboceras_sp.,20,10,9,XY
Scarabaeidae,Bolboceratops,indicum,Bolboceratops_indicum,20,10,9,XY
Scarabaeidae,Bolbocerus,indicum,Bolbocerus_indicum,20,10,9,XY
Scarabaeidae,Bothynus,striatellus,Bothynus_striatellus,20,10,9,XY
Scarabaeidae,Bubas,bison,Bubas_bison,20,10,9,XY
Scarabaeidae,Bubas,bubaloides,Bubas_bubaloides,20,10,9,XY
Scarabaeidae,Bubas,bubalus,Bubas_bubalus,20,10,9,XY
Scarabaeidae,Caccobius,schreberi,Caccobius_schreberi,20,10,9,XY
Scarabaeidae,Caccobius,schreberi,Caccobius_schreberi,20,10,9,XY
Scarabaeidae,Canthidium,breve,Canthidium_breve,18,9,8,XY
Scarabaeidae,Canthochilum,andyi,Canthochilum_andyi,18,9,8,XY
Scarabaeidae,Canthochilum,hispidum,Canthochilum_hispidum,18,9,8,XY
Scarabaeidae,Canthochilum,histeroides,Canthochilum_histeroides,18,9,8,XY
Scarabaeidae,Canthochilum,oakleyi,Canthochilum_oakleyi,18,9,8,XY
Scarabaeidae,Canthon,chalybaeus,Canthon_chalybaeus,20,10,9,XY
Scarabaeidae,Canthon,indigaceus,Canthon_indigaceus,18,9,8,XY
Scarabaeidae,Canthon,muticus,Canthon_muticus,20,10,9,XY
Scarabaeidae,Canthon,septemmaculatus,Canthon_septemmaculatus,20,10,9,XY
Scarabaeidae,Canthon,sp.,Canthon_sp.,20,10,9,XY
Scarabaeidae,Canthon,staigi,Canthon_staigi,18,9,8,XY
Scarabaeidae,Catharsius,molossus,Catharsius_molossus,20,10,9,XY
Scarabaeidae,Catharsius,molossus,Catharsius_molossus,20,10,9,XY
Scarabaeidae,Catharsius,molossus,Catharsius_molossus,20,10,9,XY
Scarabaeidae,Catharsius,pithecius,Catharsius_pithecius,20,10,9,XY
Scarabaeidae,Catharsius,sagax,Catharsius_sagax,20,10,9,XY
Scarabaeidae,Catharsius,sp.,Catharsius_sp.,18,9,8,XY
Scarabaeidae,Catharsius,sp.,Catharsius_sp.,20,10,9,XY
Scarabaeidae,Catharsius,sp.,Catharsius_sp.,20,10,9,XY
Scarabaeidae,Catharsius,sp.,Catharsius_sp.,20,10,9,XY
Scarabaeidae,Ceratophyus,hoffmannseggi,Ceratophyus_hoffmannseggi,16,8,7,XY
Scarabaeidae,Cetonia,aurata,Cetonia_aurata,20,10,9,XY
Scarabaeidae,Cetonia,aurataeformis,Cetonia_aurataeformis,20,10,,
Scarabaeidae,Cetonia,roelofsi,Cetonia_roelofsi,20,10,,
Scarabaeidae,Chalcosoma,atlas,Chalcosoma_atlas,20,10,9,NeoXY
Scarabaeidae,Cheironitis,furcifer,Cheironitis_furcifer,20,10,9,XY
Scarabaeidae,Chiron,digitatus,Chiron_digitatus,20,10,9,XY
Scarabaeidae,Chiron,digitatus,Chiron_digitatus,20,10,9,XY
Scarabaeidae,Chlorocala,africa,Chlorocala_africa,14,7,6,XY
Scarabaeidae,Chlorocala,africa,Chlorocala_africa,14,7,6,XY
Scarabaeidae,Clinteria,spilota,Clinteria_spilota,20,10,,
Scarabaeidae,Cnemotrupes,splendidus,Cnemotrupes_splendidus,22,11,,
Scarabaeidae,Coenochilus,trabecula,Coenochilus_trabecula,20,10,9,XY
Scarabaeidae,Copris,fricator,Copris_fricator,21,11,10,XO
Scarabaeidae,Copris,frictator,Copris_frictator,21,11,10,XO
Scarabaeidae,Copris,hispanus,Copris_hispanus,18,9,8,XY
Scarabaeidae,Copris,hispanus,Copris_hispanus,19,10,,
Scarabaeidae,Copris,hispanus,Copris_hispanus,18,9,8,XY
Scarabaeidae,Copris,hispanus,Copris_hispanus,18,9,8,XY
Scarabaeidae,Copris,incertus,Copris_incertus,14,7,6,XY
Scarabaeidae,Copris,lugubris,Copris_lugubris,14,7,6,XY
Scarabaeidae,Copris,lunaris,Copris_lunaris,20,10,9,XY
Scarabaeidae,Copris,sinicus,Copris_sinicus,14,7,6,XY
Scarabaeidae,Copris,sp.,Copris_sp.,14,7,6,XY
Scarabaeidae,Copris,tullius,Copris_tullius,20,10,,
Scarabaeidae,Coprophanaeus,cyanescens,Coprophanaeus_cyanescens,20,10,9,XY
Scarabaeidae,Coprophanaeus,dardanus,Coprophanaeus_dardanus,20,10,9,XY
Scarabaeidae,Coprophanaeus,ensifer,Coprophanaeus_ensifer,20,10,9,XY
Scarabaeidae,Cotalpa,lanigera,Cotalpa_lanigera,20,10,9,XY
Scarabaeidae,Cotalpa,lanigera,Cotalpa_lanigera,20,10,9,XY
Scarabaeidae,Cremastocheilus,armatus,Cremastocheilus_armatus,20,10,9,XY
Scarabaeidae,Cyclocephala,insulicola,Cyclocephala_insulicola,20,10,9,XY
Scarabaeidae,Cyclocephala,lutea,Cyclocephala_lutea,20,10,9,XY
Scarabaeidae,Cyclocephala,maffafa,Cyclocephala_maffafa,20,10,9,XY
Scarabaeidae,Cyclocephala,melanocephala,Cyclocephala_melanocephala,20,10,9,XY
Scarabaeidae,Cyclocephala,melanocephala,Cyclocephala_melanocephala,20,10,9,XY
Scarabaeidae,Cyclocephala,putrida,Cyclocephala_putrida,20,10,9,XY
Scarabaeidae,Cyclocephala,tridentata,Cyclocephala_tridentata,20,10,9,XY
Scarabaeidae,Cyclocephala,tridentata,Cyclocephala_tridentata,20,10,9,XY
Scarabaeidae,Cyprolais,hornimani,Cyprolais_hornimani,20,10,9,XY
Scarabaeidae,Cyprolais,hornimani,Cyprolais_hornimani,20,10,9,XY
Scarabaeidae,Deltochilum,calcaratum,Deltochilum_calcaratum,14,7,6,NeoXY
Scarabaeidae,Deltochilum,calcaratum,Deltochilum_calcaratum,14,7,,
Scarabaeidae,Deltochilum,elevatum,Deltochilum_elevatum,20,10,9,XY
Scarabaeidae,Deltochilum,morbillosum,Deltochilum_morbillosum,14,7,6,NeoXY
Scarabaeidae,Deltochilum,sp.,Deltochilum_sp.,14,7,6,NeoXY
Scarabaeidae,Deltochilum,sp.,Deltochilum_sp.,14,7,,
Scarabaeidae,Deltochilum,valgum,Deltochilum_valgum,14,7,6,NeoXY
Scarabaeidae,Deltochilum,verruciferum,Deltochilum_verruciferum,20,10,9,XY
Scarabaeidae,Diabroctis,mimas,Diabroctis_mimas,20,10,9,XY
Scarabaeidae,Diabroctis,mimas,Diabroctis_mimas,20,10,9,XY
Scarabaeidae,Dichotomius,affinis,Dichotomius_affinis,18,9,8,XY
Scarabaeidae,Dichotomius,bos,Dichotomius_bos,18,9,8,XY
Scarabaeidae,Dichotomius,bosqui,Dichotomius_bosqui,20,10,,
Scarabaeidae,Dichotomius,carolinus,Dichotomius_carolinus,20,10,9,XY
Scarabaeidae,Dichotomius,crinicollis,Dichotomius_crinicollis,18,9,8,XY
Scarabaeidae,Dichotomius,depresicollis,Dichotomius_depresicollis,18,9,8,XY
Scarabaeidae,Dichotomius,geminatus,Dichotomius_geminatus,18,9,8,XY
Scarabaeidae,Dichotomius,geminatus,Dichotomius_geminatus,18,9,8,XY
Scarabaeidae,Dichotomius,laevicollis,Dichotomius_laevicollis,18,9,8,XY
Scarabaeidae,Dichotomius,mormon,Dichotomius_mormon,18,9,8,XY
Scarabaeidae,Dichotomius,nisus,Dichotomius_nisus,18,9,8,XY
Scarabaeidae,Dichotomius,semianeus,Dichotomius_semianeus,18,9,8,XY
Scarabaeidae,Dichotomius,semisquamosus,Dichotomius_semisquamosus,18,9,8,XY
Scarabaeidae,Dichotomius,sericeus,Dichotomius_sericeus,18,9,8,XY
Scarabaeidae,Dichotomius,sericeus,Dichotomius_sericeus,18,9,8,XY
Scarabaeidae,Dichotomius,sericeus,Dichotomius_sericeus,18,9,8,XY
Scarabaeidae,Dichotomius,sp.,Dichotomius_sp.,18,9,8,XY
Scarabaeidae,Dichotomius,sp.,Dichotomius_sp.,18,9,8,XY
Scarabaeidae,Dichotomius,sp.,Dichotomius_sp.,18,9,8,XY
